Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS101,Chrome 122.0.0.0,,,05-03-2024 14:15:44,05-03-2024 14:16:26,42.392s,PASSED
,,,,,,,
Test Cases/TC001,Chrome 122.0.0.0,,,05-03-2024 14:15:44,05-03-2024 14:15:53,8.840s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:15:44,05-03-2024 14:15:46,1.290s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:15:46,05-03-2024 14:15:50,4.399s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 14:15:50,05-03-2024 14:15:51,0.783s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 14:15:51,05-03-2024 14:15:51,0.581s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 14:15:51,05-03-2024 14:15:52,0.542s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:15:52,05-03-2024 14:15:52,0.328s,PASSED
"verifyTextPresent(""First Name: johnjohn"", false)",Chrome 122.0.0.0,,,05-03-2024 14:15:52,05-03-2024 14:15:52,0.292s,PASSED
"takeFullPageScreenshot(""img/1.png"")",Chrome 122.0.0.0,,,05-03-2024 14:15:52,05-03-2024 14:15:53,0.353s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:15:53,05-03-2024 14:15:53,0.091s,PASSED
,,,,,,,
Test Cases/TC002,Chrome 122.0.0.0,,,05-03-2024 14:15:53,05-03-2024 14:15:57,3.847s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:15:53,05-03-2024 14:15:53,0.532s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:15:53,05-03-2024 14:15:54,0.229s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""Johnj"")",Chrome 122.0.0.0,,,05-03-2024 14:15:54,05-03-2024 14:15:55,0.827s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncanoncano"")",Chrome 122.0.0.0,,,05-03-2024 14:15:55,05-03-2024 14:15:55,0.642s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""149"")",Chrome 122.0.0.0,,,05-03-2024 14:15:55,05-03-2024 14:15:56,0.560s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:15:56,05-03-2024 14:15:56,0.358s,PASSED
